Paper_Name,Year,Citation_Number,Author_Name,Snippet,Link
Middleware for software leasing over the Internet,1999,11,Hans-Arno Jacobsen/Oliver Günther,"Abstract MMM (Middleware for Method Management) is an infrastructure for managing the deployment, integration, distribution, and use of application services via the World Wide Web. Application services may range from a simple database access to a fully fledged application package. MMM propagates a software leasing paradigm, as opposed to the classical software licensing model. Applications reside and execute on the software provider's platforms, managed through the MMM middleware. Users interact with the …",https://dl.acm.org/doi/pdf/10.1145/336992.337015
Truth revelation in approximately efficient combinatorial auctions,1999,1026,Daniel Lehmann/Liadan O'Callaghan/Yoav Shoham,"Some important classical mechanisms considered in Microeconomics and Game Theory require the solution of a difficult optimization problem. This is true of mechanisms for combinatorial auctions, which have in recent years assumed practical importance, and in particular of the gold standard for combinatorial auctions, the Generalized Vickrey Auction (GVA). Traditional analysis of these mechanisms---in particular, their truth revelation properties---assumes that the optimization problems are solved precisely. In reality, these …",https://dl.acm.org/doi/abs/10.1145/585265.585266
VRCommerce - electronic commerce in virtual reality,1999,26,Yosi Mass/Amir Herzberg,"Existing technology and standards allow the creation of threedimensional, virtual-reality browsing experience. Such an interface may be more attractive and natural (at least to some). In particular, with the increase in electronic commerce, the creation of virtual reality stores and shopping malls seems of potential value. However, there are substantial challenges in the use of existing virtual reality tools to create any large space, in particular a store or a shopping mall. The main challenges are the substantial size of the representation …",https://dl.acm.org/doi/pdf/10.1145/336992.337018
Distributed digital-ticket management for rights trading system,1999,65,Kazuo Matsuyama/Ko Fujimura,"This paper describes a digital-ticket management scheme for a generalized digital-ticket circulation system. Today, there are several digital-ticket or ticket-less systems that enable users to redeem tickets or purchase goods without getting a paper ticket. There are two main approaches: account-based and smart-cardbased digital-ticket systems. Most account-based systems require the service provider to maintain accounts for their users which increases ticketing costs. Users may worry that the service provider could alter or delete …",https://dl.acm.org/doi/pdf/10.1145/336992.337020
A methodology for workload characterization of E-commerce sites,1999,410,Daniel A. Menascé/Virgílio A. F. Almeida/Rodrigo C. Fonseca/Marco A. Mendes,"Performance analysis and capacity planning for e-commerce sites poses an interesting problem: how to best characterize the workload of these sites. Tradition al workload characterization methods, based on hits/set, page views/set, or visits/set, are not appropriate for e-commerce sites. In these environments, customers interact with the site through a series of consecutive and related requests, called sessions. Different navigational patterns can be observed for different groups of customers. In this paper, we propose a methodology …",https://dl.acm.org/doi/pdf/10.1145/336992.337024
Privacy preserving auctions and mechanism design,1999,952,Moni Naor/Benny Pinkas/Reuban Sumner,"We suggest an architecture for executing protocols for auctions and, more generally, mechanism design. Our goal is to preserve the privacy of the inputs of the participants (so that no nonessential information about them is divulged, even a posteriori) while maintaining communication and computational efficiency. We achieve this goal by adding another party-the auction issuer-that generates the programs for computing the auctions but does not take an active part in the protocol. The auction issuer is not a trusted party, but is assumed not to …",https://dl.acm.org/doi/pdf/10.1145/336992.337028
Paris metro pricing for the internet,1999,512,Andrew M. Odlyzko,"TCP and UDP, with each packet treated equally. The only difference between the channels would be that they would charge different prices. Customers would choose the channel to send their packets on (on a packet-by-packet basis, if they wished), and would pay accordingly. There would be no formal guarantees of quality of service, with packets handled on a “best effort” basis. The expectation is that the channels with higher prices would be less congested than those with lower prices, and thus provide better service. All …",https://dl.acm.org/doi/abs/10.1145/336992.337030
<i>i</i>Bundle: an efficient ascending price bundle auction,1999,301,David C. Parkes,Missing,Missing
Recommender systems in e-commerce,1999,2671,J. Ben Schafer/Joseph A. Konstan/John Riedl,… In this paper we present an explanation of how recommender systems help Ecommerce … use recommender systems including several sites that use more than one recommender system…,https://dl.acm.org/doi/pdf/10.1145/336992.337035
Brokering strategies in electronic commerce markets,1999,44,Arie Segev/Carrie Beam,"Online brokers are inventing strategies as fast as they move online. Some strategies are being implemented already, such as the Yahoo! model of advertiser-supported brokerage, or the eBay model supported by commissions charged to sellers, but there is no theoretical backing for either of these two models compared to the wide variety of auction theory. The services offered by brokers are also evolving very rapidly. In this paper we first provide an overview of the evolving brokering practices and limitations of existing work. We then …",https://dl.acm.org/doi/pdf/10.1145/336992.337038
E-commerce over communicators: challenges and solutions for user interfaces,1999,11,Mona Singh/Anuj K. Jain/Munindar P. Singh,"Norman argues forcefully that information appliances (or “invisible computers”) of the sort of communicators can fundamentally be more usable and thus more popular than traditional computers [5]. We agree with this assessment and think of communicators and their relatives as becoming ever more popular.(We revisit other aspects of Norman's position in section 4.4.) As communicators (and related devices such as palmtops and PDAs) become more prevalent, it is natural that they will be used to conduct electronic commerce. Indeed …",https://dl.acm.org/doi/pdf/10.1145/336992.337040
Bidding and allocation in combinatorial auctions,2000,716,Noam Nisan,"When an auction of multiple items is performed, it is often desirable to allow bids on combinations of items, as opposed to only on single items. Such an auction is often called"" combinatorial"", and the exponential number of possible combinations results in computational intractability of many aspects regarding such an auction. This paper considers two of these aspects: the bidding language and the allocation algorithm. First we consider which kinds of bids on combinations are allowed and how, ie in what language …",https://dl.acm.org/doi/pdf/10.1145/352871.352872
Optimal solutions for multi-unit combinatorial auctions: branch and bound heuristics,2000,205,Rica Gonen/Daniel Lehmann,Finding optimal solutions for multi-unit combinatorial auctions is a hard problem and finding approximations to the optimal solution is also hard. We investigate the use of Branch-and-Bound techniques: they require both a way to bound from above the value of the best allocation and a good criterion to decide which bids are to be tried first. Different methods for efficiently bounding from above the value of the best allocation are considered. Theoretical original results characterize the best approximation ratio and the ordering criterion that …,https://dl.acm.org/doi/pdf/10.1145/352871.352873
"A<i>k</i>BA: a progressive, anonymous-price combinatorial auction",2000,148,Peter R. Wurman/Michael P. Wellman,Missing,Missing
An efficient approximate algorithm for winner determination in combinatorial auctions,2000,87,Yuko Sakurai/Makoto Yokoo/Koji Kamei,"This paper presents an approximate algorithm for the winner determination problem in combinatorial auctions. This algorithm is based on limited discrepancy search (LDS). Internet auctions have become an integral part of Electronic Commerce and can incorporate large-scale, complicated types of auctions including combinatorial auctions, where multiple items are sold simultaneously and bidders can express complementarity among these items. Although we can increase participants' utilities by using combinatorial auctions, determining …",https://dl.acm.org/doi/abs/10.1145/352871.352875
What is actually taking place on web sites: e-commerce lessons from web server logs,2000,45,Mark Rosenstein,"ABSTRACT A prime business concern is knowing your customer. One legacy carried into the present from the earliest NCSA web servers is web server logs. While there are more powerful user tracking techniques, such as requiring logins or storing cookies, server logs remain a powerful tool in helping understand customer activity on a web site, and are the only tool when logins are not desirable or cookies are blocked by browsers or firewalls. This paper details the possibilities and pitfalls in using web server logs to understand customer …",https://dl.acm.org/doi/pdf/10.1145/352871.352876
Pricing strategies on the Web: evidence from the online book industry,2000,34,Karen Clay/Ramayya Krishnan/Eric Wolff,"Using data collected between August 1999 and January 2000, we examine firm-level pricing strategies for 32 online bookstores. The data cover more than 300 books, including New York Times bestsellers, computer bestsellers, and random books. Over the period, standard deviation of price fell slightly, and prices for the different types of books were substantially above cost and flat or increasing. Thus predicted price convergence has not yet occurred. An average firm priced random paperback nonfiction books at 94 percent of the cover price …",https://dl.acm.org/doi/pdf/10.1145/352871.352877
In search of invariants for e-business workloads,2000,198,Daniel A. Menascé/Virgílio A. F. Almeida/Rudolf H. Riedi/Flávia Ribeiro/Rodrigo C. Fonseca/Wagner Meira Jr.,"Understanding the nature and characteristics of e-business workloads is a crucial step to improve the quality of service offered to customers in electronic business environments. However, the variety and complexity of the interactions between customers and sites make the characterization of ebusiness workloads a challenging problem. Using a multilayer hierarchical model, this paper presents a detailed characterization of the workload of two actual e-business sites: an online bookstore and an electronic auction site. Through the …",https://dl.acm.org/doi/pdf/10.1145/352871.352878
Towards a universal test suite for combinatorial auction algorithms,2000,500,Kevin Leyton-Brown/Mark Pearson/Yoav Shoham,"General combinatorial auctions—auctions in which bidders place unrestricted bids for bundles of goods—are the subject of increasing study. Much of this work has focused on algorithms for finding an optimal or approximately optimal set of winning bids. Comparatively little attention has been paid to methodical evaluation and comparison of these algorithms. In particular, there has not been a systematic discussion of appropriate data sets that can serve as universally accepted and well motivated benchmarks. In this paper we present a …",https://dl.acm.org/doi/pdf/10.1145/352871.352879
Interactions of automated pricing algorithms: an experimental investigation,2000,14,Cary A. Deck/Bart J. Wilson,"The advent of electronic commerce enables retailers to set prices via automated algorithms. This paper employs the method of experimental economics to examine human behavior in environments where multiple automated pricing algorithms are available for use. The results of the experiments reported here indicate that individuals prefer using automated pricing algorithms to setting prices manually. However, neither a pricebeating nor a price-matching automated rule is dominant in terms of the frequency of usage. We find that the composite …",https://dl.acm.org/doi/pdf/10.1145/352871.352880
Design and implementation of an agent-based intermediary infrastructure for electronic markets,2000,46,Gaurav Tewari/Pattie Maes,"This paper describes MARI (Multi-Attribute Resource Intermediary), a project which proposes to improve online marketplaces, specifically those that involve the buying and selling of non-tangible goods and services. MARI is an intermediary architecture intended as a generalized platform for the specification and brokering of heterogeneous goods and services. MARI makes it possible for both buyers and sellers alike to more holistically and comprehensively specify relative preferences for the transaction partner, as well as for the …",https://dl.acm.org/doi/pdf/10.1145/352871.352881
Price wars and niche discovery in an information economy,2000,24,Christopher H. Brooks/Edmund H. Durfee/Rajarshi Das,"Electronic goods are flexible and have negligible marginal costs. These features allow a producer of electronic goods to explore pricing schemes, and in particular bundling, that would not be feasible with physical goods. However, they can also make it more difficult for a producer to differentiate itself from competitors offering identical goods. Previous research in this area indicates that in markets where producers compete over the sale of identical information goods, cyclical price wars often develop. In this paper, we provide a …",https://dl.acm.org/doi/pdf/10.1145/352871.352882
Internetwork externalities and free information goods,2000,50,Geoffrey G. Parker/Marshall W. van Alstyne,"Competitive maneuvering in the information economy has raised a pressing question: how can firms raise profits by giving away products for free? This paper provides a pos0 sible answer and articulates a strategy space for informa0 tion product design. Free strategic complements can raise a firm* s own profits while free strategic substitutes can lower profits for competitors. We introduce a formal model of cross0market externali0 ties based in textbook economics a mix of Katz & Shapiro network effects, price discrimination, and …",https://dl.acm.org/doi/pdf/10.1145/352871.352883
Competitive bundling of categorized information goods,2000,24,Jeffrey O. Kephart/Scott A. Fay,"… are relevant for markets of bundled information goods. Then, in section 3, we introduce a novel information bundling model that incorporates di erent categories of information, explicitly …",https://dl.acm.org/doi/abs/10.1145/352871.352884
Sardine: dynamic seller strategies in an auction marketplace,2000,57,Joan Morris/Peter Ree/Pattie Maes,"This paper examines seller strategies for dynamic pricing in an auction-driven marketplace. Specifically, this paper focuses on the airline industry, a field experienced in demand forecasting and dynamic pricing capabilities. Our goal is to discover the relevant factors when a seller dynamically evaluates incoming bids on a finite number of goods. We present two adaptive pricing strategies and evaluate them using a market simulator.",https://dl.acm.org/doi/pdf/10.1145/352871.352885
Information technology - a source of friction? an analytical model of how firms combat price competition online,2000,9,Neveen I. Farag/Marshall W. van Alstyne,"As the Internet improves consumer price search and puts distant firms into local competition, we might expect prices, price dispersion, and profits to fall. Empirically, however, this prediction does not necessarily hold. Although average prices and profits are lower online than o"" ine, there are significant exceptions; and price dispersion has actually risen. Why does this happen? Using a formal analytic model, we argue that firms can resist comparison shopping by customizing their goods and, in particular, the shopping experience. Firms are …",https://dl.acm.org/doi/pdf/10.1145/352871.352886
Targeted advertising with inventory management,2000,48,David Maxwell Chickering/David Heckerman,"Companies that maintain web sites can make considerable revenue through advertising, and consequently attracting advertisers has become an important and competitive endeavor. A property that can attract advertisers is high clickthrough rates; and therefore companies can benefit from delivery systems that serve advertisements selectively to those visitors most likely to click. In order to satisfy contractual obligations, however, these systems must simultaneously perform inventory management. For example, if a company has agreed …",https://dl.acm.org/doi/pdf/10.1145/352871.352888
Immunizing online reputation reporting systems against unfair ratings and discriminatory behavior,2000,990,Chrysanthos Dellarocas,"Reputation reporting systems have emerged as an important risk management mechanism in online trading communities. However, the predictive value of these systems can be compromised in situations where conspiring buyers intentionally give unfair ratings to sellers or, where sellers discriminate on the quality of service they provide to different buyers. This paper proposes and evaluates a set of mechanisms, which eliminate, or significantly reduce the negative effects of such fraudulent behavior. The proposed mechanisms can be easily …",https://dl.acm.org/doi/pdf/10.1145/352871.352889
Analysis of recommendation algorithms for e-commerce,2000,2929,Badrul Munir Sarwar/George Karypis/Joseph A. Konstan/John Riedl,"Recommender systems apply statistical and knowledge discovery techniques to the problem of making product recommendations during a live customer interaction and they are achieving widespread success in E-Commerce nowadays. In this paper, we investigate several techniques for analyzing large-scale purchase and preference data for the purpose of producing useful recommendations to customers. In particular, we apply a collection of algorithms such as traditional data mining, nearest-neighbor collaborative filtering, and …",https://dl.acm.org/doi/pdf/10.1145/352871.352887
Using a starfield visualization for analyzing product performance of online stores,2000,20,Juhnyoung Lee/Mark Podlaseck,"This paper presents a method for analyzing the performance of individual products in an online store in relation with the store's merchandising efforts. For this analysis, we introduce a visualization tool which is based on a starfield display [1]. We also use a framework for understanding Web merchandising with a set of metrics referred to as micro-conversion rates which were defined in our previous work [12]. This analysis of Web merchandising effectiveness relies on clickstream data which is visitors' paths through an online store …",https://dl.acm.org/doi/pdf/10.1145/352871.352890
Privacy-preserving global customization,2000,49,Robert M. Arlein/Ben Jai/Markus Jakobsson/Fabian Monrose/Michael K. Reiter,"… We present an architecture for global customization of web content, by which a web site can customize content for each visitor based on the activities undertaken by the same user on …",https://dl.acm.org/doi/pdf/10.1145/352871.352891
Enabling scalable online personalization on the Web,2000,87,Debra E. VanderMeer/Kaushik Dutta/Anindya Datta/Krithi Ramamritham/Shamkant B. Navathe,"Online personalization is of great interest to e-companies. Virtually all personalization technologies are based on the idea of storing as much historical customer session data as possible, and then querying the data store as customers navigate through a web site. The holy grail of on-line personalization is an environment where fine-grained, detailed historical session data can be queried based on current online navigation patterns for use in formulating real-time responses. Unfortunately, as more consumers become e-shoppers, the …",https://dl.acm.org/doi/pdf/10.1145/352871.352892
A comparative usability evaluation of user interfaces for online product catalog,2000,81,Ewa Callahan/Jürgen Koenemann,"We conducted a comparative study of the usability of hierarchically structured and zoomable Electronic Product Catalogs (EPC). After evaluating 16 hierarchical EPC available online today we constructed a test search interface and used it for comparison with InfoZoom, a novel interface utilizing a compression technique, direct manipulation, and zooming. 26 users, who were new to the InfoZoom Interface, but familiar with the Web environment, were studied in their use of one of these catalog types. Performance on both types of interfaces …",https://dl.acm.org/doi/pdf/10.1145/352871.352893
Micro-option: a method for optimal selection and atomic reservation of distributed resources in a free market environment,2000,9,Roman Ginis/K. Mani Chandy,Many business processes can be described as partial orderings of tasks. We propose a model where each task is performed by one resource leased in a free market and all the resources for the process must be reserved atomically. The main problem we introduce and solve here is as follows:,https://dl.acm.org/doi/pdf/10.1145/352871.352894
MultECommerce: a distributed architecture for collaborative shopping on the WWW,2000,36,Stefano Puglia/Robert Carter/Ravi Jain,"The WWW has made information and services more available than ever before. Many of the first Web applications have been emulations of real world activities, in particular, e-commerce. But so far, the use of information and services on the Web has been a solitary one. We propose a component-based architecture for collaboration that provides shared navigation of the WWW along with an EJB-based server implementation. As a particular application built on this architecture, we present MultECommerce, through which multiple …",https://dl.acm.org/doi/pdf/10.1145/352871.352895
An exception-handling architecture for open electronic marketplaces of contract net software agents,2000,62,Chrysanthos Dellarocas/Mark Klein/Juan A. Rodríguez-Aguilar,"Software agent marketplaces require the development of new architectures, which are capable of coping with unreliable computational and network infrastructures, limited trust among independently developed agents and the possibility of systemic failures. In analogy with human societies, agent marketplaces will benefit from the introduction of appropriate electronic exception handling institutions, whose role will be to help guarantee efficiency and fairness in the face of these challenges. This paper presents a research methodology …",https://dl.acm.org/doi/pdf/10.1145/352871.352896
Competitive analysis of incentive compatible on-line auctions,2000,270,Ron Lavi/Noam Nisan,"This paper studies auctions in a setting where the different bidders arrive at different times and the auction mechanism is required to make decisions about each bid as it is received. Such settings occur in computerized auctions of computational resources as well as in other settings. We call such auctions, on-line auctions. We first characterize exactly on-line auctions that are incentive compatible, ie where rational bidders are always motivated to bid their true valuation. We then embark on a competitive worst-case analysis of incentive …",https://dl.acm.org/doi/pdf/10.1145/352871.352897
Computationally feasible VCG mechanisms,2000,676,Noam Nisan/Amir Ronen,"… is computationally infeasible (eg, NP-hard). In this paper we consider VCG mechanisms where the optimal algorithm is replaced by a sub-optimal but computationally feasible one. …",https://www.jair.org/index.php/jair/article/view/10498
Bidding clubs: institutionalized collusion in auctions,2000,34,Kevin Leyton-Brown/Yoav Shoham/Moshe Tennenholtz,"We introduce a class of mechanisms, called bidding clubs, for agents to coordinate their bidding in auctions. In a bidding club agents first conduct a"" pre-auction"" within the club; depending on the outcome of the pre-auction some subset of the members of the club bid in the primary auction in a prescribed way; and, in some cases, certain monetary transfers take place after the auction. Bidding clubs have self-enforcing collusion properties in the context of secondprice auctions. We show that this is still true when multiple auctions take place for …",https://dl.acm.org/doi/pdf/10.1145/352871.352899
Combinatorial auctions for supply chain formation,2000,237,William E. Walsh/Michael P. Wellman/Fredrik Ygge,"Supply chain formation presents difficult coordination issues for distributed negotiation protocols. Agents must simultaneously negotiate production relationships at multiple levels, with important interdependencies among inputs and outputs at each level. Combinatorial auctions address this problem by global optimization over expressed offers to engage in compound exchanges. A one-shot combinatorial auction that optimizes the reported value of the bids results in optimal allocations with truthful bids. But autonomous self-interested …",https://dl.acm.org/doi/pdf/10.1145/352871.352900
Concurrent auctions across the supply chain,2001,164,Moshe Babaioff/Noam Nisan,"With the recent technological feasibility of electronic commerce over the Internet, much attention has been given to the design of electronic markets for various types of electronically-tradable goods. Such markets, however, will normally need to function in some relationship with markets for other related goods, usually those downstream or upstream in the supply chain. Thus, for example, an electronic market for rubber tires for trucks, will likely need to be strongly influenced by the rubber market as well as by the truck …",https://dl.acm.org/doi/abs/10.1145/501158.501159
On approximating optimal auctions,2001,134,Amir Ronen,"… the optimal auction problem using a different and more computer science oriented approach. Instead of characterizing the optimal auction… , we look for an approximation – a solution that …",https://dl.acm.org/doi/abs/10.1145/501158.501160
Combinatorial auctions with decreasing marginal utilities,2001,722,Benny Lehmann/Daniel Lehmann/Noam Nisan,"In most of microeconomic theory, consumers are assumed to exhibit decreasing marginal utilities. This paper considers combinatorial auctions among such buyers. The valuations of such buyers are placed within a hierarchy of valuations that exhibit no complementarities, a hierarchy that includes also OR and XOR combinations of singleton valuations, and valuations satisfying the gross substitutes property. While we show that the allocation problem among valuations with decreasing marginal utilities is NP-hard, we present an …",https://dl.acm.org/doi/abs/10.1145/501158.501161
Accelerating information revelation in ascending-bid auctions: avoiding last minute bidding,2001,18,Shigeo Matsubara,"An ascending-bid auction protocol with a fixed end time has been widely used at many Internet auction sites. At these sites, we can observe bidders engaging in the behavior called last minute bidding, namely, a large fraction of the bids for a good are submitted in the closing seconds of the auction. This can cause problems such as information revelation failure as well as server overload and network congestion. When bidders behave in this way, each of them cannot obtain information about the good from the other bidders' bidding …",https://dl.acm.org/doi/abs/10.1145/501158.501162
E-privacy in 2nd generation E-commerce: privacy preferences versus actual behavior,2001,801,Sarah Spiekermann/Jens Grossklags/Bettina Berendt,"As electronic commerce environments become more and more interactive, privacy is a matter of increasing concern. Many surveys have investigated households' privacy attitudes and concerns, revealing a general desire among Internet users to protect their privacy. To complement these questionnaire-based studies, we conducted an experiment in which we compared self-reported privacy preferences of 171 participants with their actual disclosing behavior during an online shopping episode. Our results suggest that current approaches to …",https://dl.acm.org/doi/abs/10.1145/501158.501163
Concepts for personal location privacy policies,2001,258,Einar Snekkenes,"A Location Based Service (LBS) is a service where knowledge of the location of an object or individual is used to personalise the service. Typical examples include the E911 emergency location service in the US and'Where is the nearest xx'type of services. However, since these services often may be implemented in a way that exposes sensitive personal information, there are several privacy issues to consider. A key question is:"" Who should have access to what location information under which circumstances? It is our view that individuals should …",https://dl.acm.org/doi/abs/10.1145/501158.501164
Forecasting uncertain events with small groups,2001,56,Kay-Yut Chen/Leslie R. Fine/Bernardo A. Huberman,"We present a novel methodology for predicting future outcomes that uses small numbers of individuals participating in an imperfect information market. By determining their risk attitudes and performing a nonlinear aggregation of their predictions, we are able to assess the probability of the future outcome of an uncertain event and compare it to both the objective probability of its occurrence and the performance of the market as a whole. Experiments show that this nonlinear aggregation mechanism vastly outperforms both the …",https://dl.acm.org/doi/abs/10.1145/501158.501165
Discovering critical edge sequences in E-commerce catalogs,2001,8,Kaushik Dutta/Debra E. VanderMeer/Anindya Datta/Krithi Ramamritham,"Web sites allow the collection of vast amounts of navigational data--clickstreams of user traversals through the site. These massive data stores offer the tantalizing possibility of uncovering interesting patterns within the dataset. For e-businesses, always looking for an edge in the hyper-competitive online marketplace, this possibility is of particular interest. Of significant particular interest to e-businesses is the discovery of Critical Edge Sequences (CES), which denote frequently traversed subpaths in the catalog. CESs can be used to …",https://dl.acm.org/doi/abs/10.1145/501158.501166
Endogenous differentiation of information goods under uncertainty,2001,11,Robert S. Gazzale/Jeffrey K. MacKie-Mason,"Information goods can be reconfigured at low cost. Therefore, firms can choose how to differentiate their products at a frequency comparable to price changes. However, doing so effectively is complicated by uncertainty about customer preferences, compounded by the fact that the search for a good product niche is carried out in competition with other searching firms. We study two firms that differentiate their information goods. The firms simultaneously compete in product configuration and price. We assume a non-uniform …",https://dl.acm.org/doi/abs/10.1145/501158.501167
Escrow services and incentives in peer-to-peer networks,2001,92,Bill G. Horne/Benny Pinkas/Tomas Sander,"Distribution of content, such as music, remains one of the main drivers of P2P development. Subscription-based services are currently receiving a lot of attention from the content industry as a viable business model for P2P content distribution. One of the main problems that such services face is that users may choose to redistribute content outside the community of subscribers, thereby facilitating large-scale piracy. Digital Rights Management (DRM) systems typically employ tamper resistance techniques to control this risk. We …",https://dl.acm.org/doi/abs/10.1145/501158.501168
Dynamic pricing strategies under a finite time horizon,2001,58,Joan Morris DiMicco/Amy Greenwald/Pattie Maes,"In the near future, dynamic pricing will be a common competitive maneuver. In this age of digital markets, sellers in electronic marketplaces can implement automated and frequent adjustments to prices and can easily imagine how this will increase their revenue by selling to buyers"" at the right time, at the right price."" But at present, most sellers do not have an adequate understanding of the performance of dynamic pricing algorithms in their marketplaces. This paper addresses this concern by analyzing the performance of two …",https://dl.acm.org/doi/abs/10.1145/501158.501169
Mechanism design with incomplete languages,2001,17,Amir Ronen,"A major achievement of mechanism design theory is the family of truthful mechanisms often called VCG (named after Vickrey, Clarke and Groves). Although these mechanisms have many appealing properties, their essential intractability prevents them from being applied to complex problems like combinatorial auctions. In particular, VCG mechanisms require the agents to fully describe their valuation functions to the mechanism. Such a description may require exponential size and thus be infeasible for the agents. A natural approach for this …",https://dl.acm.org/doi/abs/10.1145/501158.501170
Bidding algorithms for simultaneous auctions,2001,104,Amy Greenwald/Justin A. Boyan,"This paper introduces RoxyBot, one of the top-scoring agents in the First International Trading Agent Competition. A TAC agent simulates one vision of future travel agents: it represents a set of clients in simultaneous auctions, trading complementary (eg, airline tickets and hotel reservations) and substitutable (eg, symphony and theater tickets) goods. RoxyBot faced two key technical challenges in TAC:(i) allocation---assigning purchased goods to clients at the end of a game instance so as to maximize total client utility, and (ii) …",https://dl.acm.org/doi/abs/10.1145/501158.501171
An efficient approximate allocation algorithm for combinatorial auctions,2001,201,Edo Zurel/Noam Nisan,"We propose a heuristic for allocation in combinatorial auctions. We first run an approximation algorithm on the linear programming relaxation of the combinatorial auction. We then run a sequence of greedy algorithms, starting with the order on the bids determined by the approximate linear program and continuing in a hill-climbing fashion using local improvements in the order of bids. We have implemented the algorithm and have tested it on the complete corpus of instances provided by Vohra and de Vries as well as on instances …",https://dl.acm.org/doi/abs/10.1145/501158.501172
